Wed Mar 25 2020 23:42:39 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: try to get unexcited user
Wed Mar 25 2020 23:43:25 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: user connected successfully with the following login : backend
Wed Mar 25 2020 23:49:27 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: try to get unexcited user
Wed Mar 25 2020 23:49:52 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: try to get unexcited user
Wed Mar 25 2020 23:51:01 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: try to get unexcited user
Wed Mar 25 2020 23:51:27 GMT+0100 (GMT+01:00) | src: C:\angular\go-full-stack\backend\controllers\data-base.js login() | msg: try to get unexcited user
Mon Mar 30 2020 02:08:26 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: try to get unexcited user
Mon Mar 30 2020 02:22:26 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: try to get unexcited user
Mon Mar 30 2020 02:22:26 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: try to get unexcited user
Mon Mar 30 2020 02:23:56 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: try to get unexcited user
Mon Mar 30 2020 02:23:56 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: try to get unexcited user
Mon Mar 30 2020 02:24:00 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: try to get unexcited user
Mon Mar 30 2020 02:24:00 GMT+0200 (GMT+02:00) | src: C:\angular\go-full-stack\backend\controllers\user.js signin() | msg: try to get unexcited user
